,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
1304,Gonzalo Jara,Mainz 05,Bundesliga,17,970,0,0,0,0.106381653,0.071769446,0.106381653,0.009870463,0.006659021,0.009870463,D S,2,1,4,0,0.989915911,1.084314201
1305,Maximilian Beister,Hamburger SV,Bundesliga,5,67,0,0,0,0.51845485,0,0.51845485,0.696431888,0,0.696431888,S,1,0,0,0,0,0.51845485
1306,Christoph Moritz,Mainz 05,Bundesliga,9,505,0,0,0,0.113467991,0.166987902,0.113467991,0.020222018,0.02976022,0.020222018,M S,2,4,0,0,0.985564843,1.236922145
1307,Geoffroy Serey Dié,VfB Stuttgart,Bundesliga,13,981,0,0,2,0.17199046,0.912970517,0.17199046,0.015778941,0.083758763,0.015778941,M S,9,7,5,0,2.169234429,2.83525732
1308,Robbie Kruse,Bayer Leverkusen,Bundesliga,4,44,0,0,1,0.092003942,0.072127908,0.092003942,0.18818988,0.147534358,0.18818988,S,1,1,0,0,0.293016046,0.457147896
1309,Adam Hlousek,VfB Stuttgart,Bundesliga,22,1583,0,0,0,0.444807718,0.371988045,0.444807718,0.025289131,0.021149036,0.025289131,D M S,3,7,4,1,3.127677822,3.721896004
1310,Timo Baumgartl,VfB Stuttgart,Bundesliga,20,1646,0,0,0,0.615921382,0.639585227,0.615921382,0.033677354,0.034971246,0.033677354,D S,4,2,1,0,1.585882314,1.585882314
1311,Oliver Baumann,Hoffenheim,Bundesliga,34,3060,0,0,0,0,0,0,0,0,0,GK,0,0,0,0,2.268592196,2.268592196
1312,Jin-Su Kim,Hoffenheim,Bundesliga,19,1502,0,0,1,0.156707926,1.898990318,0.156707926,0.009389956,0.113787702,0.009389956,D S,6,14,4,0,1.747354269,2.822371615
1313,Tobias Strobl,Hoffenheim,Bundesliga,30,2439,0,0,1,0.771471888,0.385714373,0.771471888,0.028467597,0.014233003,0.028467597,D M S,5,8,6,0,4.415695865,5.452947062
1314,Nadiem Amiri,Hoffenheim,Bundesliga,7,329,0,0,0,0.205774516,0.45780975,0.205774516,0.056290901,0.12523671,0.056290901,M S,3,5,0,0,0.885962874,1.522709817
1315,Ron-Robert Zieler,Hannover 96,Bundesliga,34,3060,0,0,0,0,0.036291637,0,0,0.001067401,0,GK,0,1,3,0,1.679077939,1.715369578
1316,Hiroki Sakai,Hannover 96,Bundesliga,27,2326,0,0,0,0,1.899903554,0,0,0.073513035,0,D M,0,22,5,1,3.792048754,5.343004383
1317,Miiko Albornoz,Hannover 96,Bundesliga,28,2189,0,0,3,0.217995771,1.706203228,0.217995771,0.008962823,0.070149973,0.008962823,D M S,8,17,2,0,5.533054821,6.56923373
1318,Kenan Karaman,Hannover 96,Bundesliga,11,255,0,0,0,0.215593325,0.152472823,0.215593325,0.076091762,0.053813938,0.076091762,S,6,2,0,0,0.560934067,0.929000162
1319,Felipe,Hannover 96,Bundesliga,11,578,0,0,0,0.326738875,0,0.326738875,0.050876295,0,0.050876295,D S,5,0,1,0,0.402793005,0.402793005
